BOOKING_UNIT,MASTER_CLIENT_CODE,BOOKING_AGENCY_CODESUBCODE,RO_NO,RO_DATE,MASTER_CLIENT_NAME,MASTER_AGENCY_NAME,BOOKING_PACKAGE_CODE,MASTER_PACKAGE_NAME,BOOKING_COLOUR,ATTACHMENT1,ATTACHMENT2,BOOKING_ID
NA1,148660,PR797PRO58,369,08-09-18 12:00:00,"SOUTH CENTRAL RAILWAY ,SECUNDERABAD",PROMODOME COMMUNICATIONS PVT. LTD.,AU17,AU-NWD,B,DNA1202000007106_20200711171224.pdf,,DNA1202000007106
JH0,174006,UP588UPA30,37,11-09-18 12:00:00,"UPADKSH, AUDG.KSHE.RAILWAY/MANAGER BAL MANDIR J.H.GARIYA MARG, ,[JHANSI]","UPADKSH, AUDG.KSHE.RAILWAY/MANAGER BAL MANDIR J.H.GARIYA MARG,",JH3,AU-JHS,B,,,DJH0201800000616
NA1,230767,YA7YAK2,2925,11-09-18 12:00:00,"SOUTH WESTERN RAILWAY ,MYSORE ,MYSORE",YAKSHI COMMUNICATIONS,AU17,AU-NWD,B,,,DNA1201800002456
NA1,18650,MC4MCS1,1666,21-09-18 12:00:00,"SOUTHERN RAILWAY, CHENNAI",MCS COMMUNICATIONS PVT.LTD.,AU17,AU-NWD,B,,,DNA1201800003044
NA1,18736,AL73ALA17,4881,22-09-18 12:00:00,CENTRAL RAILWAY MUMBAI,"ALAKNANDA ADVERTISING PVT. LTD.,[MUMBAI]",AU4,AU-KNP,B,,,DNA1201800003103
NA1,16123,CH31CHI24,1490,27-09-18 12:00:00,"MINISTRY OF RAILWAY, NEW DELHI",CHIRANJN ADVERTISING,AU17,AU-NWD,B,,,DNA1201800003296
AG0,MI50,AL79ALI8,3827,01-11-18 12:00:00,MINISTRY OF RAILWAYS,ALIEN ADS,AU7,AU-AGR,B,,,DAG0201800003507
NA1,18654,YA39YAK7,76,03-11-18 12:00:00,"EAST COAST RAILWAY, BHUBANESWAR",YAKSHI COMMUNICATIONS,AU18,AU-VNS,B,,,DNA1201800005555
NA1,32372,AD234ADK6,1107,13-11-18 12:00:00,"SOUTH CENTRAL RAILWAY, [SECUNDERABAD]","ADKNACK ADVERTISING.,[SECUNDERABAD]",AU17,AU-NWD,B,,DNA1201900017529.pdf,DNA1201900017529
NA1,17972,AI5AIR3,333292,07-12-18 12:00:00,"NORTH EASTERN RAILWAY, GORAKHPUR",AIRADS LIMITED,AU18,AU-VNS,B,,,DNA1201800007171
NA1,17377,EX418EXP10,3786,11-12-18 12:00:00,"EAST CENTRAL RAILWAY, PATNA",EXPRESSION AD AGENCY PVT LTD.,AU18,AU-VNS,B,,,DNA1201800007325
NA1,SO64,SR4SRE1,B-020666,14-01-19 12:00:00,"SOUTH WESTERN RAILWAY,BANGALORE",SRESHTA COMMUNICATIONS,AU17,AU-NWD,B,,,DNA1201900000628
AL0,122068,SA741SAT50,91743,11-02-19 12:00:00,"RAILWAY ELECTRIFICATION,[JAIPUR]",SATYA ADVERTISING AGENCY,AU7,AU-AGR,B,,,DAL0201900000961
NA1,18828,DE8DEE1,5908,14-02-19 12:00:00,WESTERN RAILWAY NEW DELHI,DEEPAK ADVERTISING AGENCY,AU17,AU-NWD,B,,,DNA1201900002709
GO0,43458,RD1RD.1,48942,19-02-19 12:00:00,"RAILWAY ELECTRIFICATION, [GORAKHPUR]",RD. ADVTG. PVT. LTD.,AU2,AU-GKP,B,,,DGO0201900001339
NA1,113642,SI38SID6,689,09-03-19 12:00:00,"WEST CENTRAL RAILWAY-DRM,[JABALPUR]",SIDDHARTHA ADVERTISING,AU17,AU-NWD,B,,,DNA1201900004801
NA1,55849,ON1ONE1,182315,12-03-19 12:00:00,"WESTERN RAILWAY,[AHMEDABAD]","ONE ADVERTISING & COMMUNICATION SERVICES LTD.,",AU17,AU-NWD,B,,,DNA1201900004893
AL0,5723,RD8RD.5,89575,25-03-19 12:00:00,"RAILWAY ELECTRIFICATION, AMBALA CANTT.",RD.ADVERTISING PVT. LTD.,AU17,AU-NWD,B,,,DAL0201900001938
NA1,106152,PE15PER7,0007,09-04-19 12:00:00,"INDIAN RAILWAY WELFARE ORGANISATION,[NEW DELHI]","PERFECT 10 ADVERTISING,",AU29,AU-CHD,B,,,DNA1201900006200
NA1,18809,HE15HEA8,165,16-05-19 12:00:00,SOUTH EASTERN RAILWAY KOLKATA,HEADLINERS ADVERTISING SERVICES PVT. LTD.,AU17,AU-NWD,B,,DNA1201900008157 SECR RO-165   Amar Ujala.jpg,DNA1201900008157
NA1,16766,PA112PAM15,117027,31-05-19 12:00:00,"INDIAN RAILWAY CATERING&TOURISM COR LTD, NEW DELHI",PAMM ADVERTISING & MARKETING ,AU17,AU-NWD,B,,pamm advt 117027.jpg,DNA1201900009177
